Main Area,Map Link,Floor,Sub Area,Type Found,Name
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,B5,Item,Antidote Grass
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,B6,Monster,Wooly
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,B6,Item,Medicinal Herb
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,B6,Item,Antidote Grass
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,B7,Monster,Wooly
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,B7,Item,Medicinal Herb
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,B7,Item,Antidote Grass
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,B7,Item,Green Grass
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,C2,Monster,Cluckadoodle
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,C2,Monster,Pomme Pomme
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,C2,Item,Antidote Grass
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,C3,Monster,Wooly
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,C3,Monster,Cluckadoodle
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,C3,Monster,Pomme Pomme
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,C3,Item,Antidote Grass
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,C3,Item,Blue Grass
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,C3,Item,Green Grass
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,D1,Monster,Pomme Pomme
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,D1,Item,Mushroom
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,D2,Monster,Big Muck
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,D2,Item,Mushroom
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,D3,Item,Mushroom
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,D4,Monster,Big Muck
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,D4,Item,Mushroom
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,D7,Monster,Chipsqueek
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,D7,Item,Medicinal Herb
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,D7,Item,Antidote Grass
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,D7,Item,Green Grass
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,E1,Item,Mushroom
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,E2,Monster,Big Muck
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,E2,Monster,Ant
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,E2,Item,Mushroom
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,E3,Monster,Big Muck
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,E3,Monster,Pomme Pomme
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,E3,Item,Mushroom
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,E4,Monster,Death Fungus
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,E6,Monster,Beetle
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,E6,Monster,Chipsqueek
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,E6,Monster,Pomme Pomme
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,F2,Monster,Beetle
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,F2,Monster,Pomme Pomme
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,G3,Monster,Chipsqueek
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,G4,Monster,Buffamoo
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,G4,Monster,Wooly
Cluck-Cluck Nest,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/24/Cluck_cluck_nest.jpg,-,B,Monster,Mamadoodle
Cluck-Cluck Nest,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/24/Cluck_cluck_nest.jpg,-,B,Item,Withered Grass
Cluck-Cluck Nest,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/24/Cluck_cluck_nest.jpg,-,B,Item,Fodder
Cluck-Cluck Nest,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/24/Cluck_cluck_nest.jpg,-,C,Monster,Mamadoodle
Cluck-Cluck Nest,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/24/Cluck_cluck_nest.jpg,-,C,Item,Withered Grass
Cluck-Cluck Nest,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/24/Cluck_cluck_nest.jpg,-,C,Item,Fodder
Cluck-Cluck Nest,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/24/Cluck_cluck_nest.jpg,-,D,Monster,Mamadoodle
Cluck-Cluck Nest,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/24/Cluck_cluck_nest.jpg,-,D,Item,Withered Grass
Cluck-Cluck Nest,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/24/Cluck_cluck_nest.jpg,-,D,Item,Fodder
Cluck-Cluck Nest,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/24/Cluck_cluck_nest.jpg,-,E,Monster,Cluckadoodle
Cluck-Cluck Nest,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/24/Cluck_cluck_nest.jpg,-,E,Item,Withered Grass
Cluck-Cluck Nest,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/24/Cluck_cluck_nest.jpg,-,E,Item,Fodder
Yokmir Forest,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/e/ec/YokmirForest.png,-,-,Item,Mushroom
Yokmir Forest,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/e/ec/YokmirForest.png,-,-,Item,Blue Grass
Yokmir Forest,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/e/ec/YokmirForest.png,-,-,Item,Medicinal Herb
Yokmir Forest,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/e/ec/YokmirForest.png,-,-,Item,Green Grass
Yokmir Forest,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/e/ec/YokmirForest.png,-,-,Monster,Orc
Yokmir Forest,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/e/ec/YokmirForest.png,-,-,Monster,Orc Archer
Yokmir Forest,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/e/ec/YokmirForest.png,-,-,Monster,Ant
Yokmir Forest,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/e/ec/YokmirForest.png,-,-,Monster,Beetle
Yokmir Forest,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/e/ec/YokmirForest.png,-,-,Monster,Ambrosia
Yokmir Forest,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/e/ec/YokmirForest.png,-,-,Monster,Dead Tree
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/6/69/Yokmir_cave_1.jpg,1F,A,Mineral,Emerald Mineral
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/6/69/Yokmir_cave_1.jpg,1F,A,Mineral,Rune Crystal
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/6/69/Yokmir_cave_1.jpg,1F,B,Monster,Orc Hunter
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/6/69/Yokmir_cave_1.jpg,1F,B,Monster,High Orc
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/6/69/Yokmir_cave_1.jpg,1F,C,Monster,Field Gate
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/6/69/Yokmir_cave_1.jpg,1F,C,Monster,Orc Hunter
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/6/69/Yokmir_cave_1.jpg,1F,D,Monster,Field Gate
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/6/69/Yokmir_cave_1.jpg,1F,D,Monster,Orc Hunter
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/6/69/Yokmir_cave_1.jpg,1F,E,Item,Indigo Grass
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/6/69/Yokmir_cave_1.jpg,1F,E,Item,Green Grass
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/6/69/Yokmir_cave_1.jpg,1F,F,Item,Indigo Grass
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/6/69/Yokmir_cave_1.jpg,1F,F,Item,Purple Grass
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/7/70/Yokmir_cave_2.jpg,2F,A2,Mineral,Silver Mineral
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/7/70/Yokmir_cave_2.jpg,2F,A2,Mineral,Rune Crystal
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/7/70/Yokmir_cave_2.jpg,2F,B1,Monster,Field Gate
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/7/70/Yokmir_cave_2.jpg,2F,B1,Monster,Killer Ant
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/7/70/Yokmir_cave_2.jpg,2F,B2,Monster,Killer Ant
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/7/70/Yokmir_cave_2.jpg,2F,B2,Mineral,Emerald Mineral
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/7/70/Yokmir_cave_2.jpg,2F,C2,Monster,Field Gate
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/7/70/Yokmir_cave_2.jpg,2F,C2,Monster,Ant
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/7/70/Yokmir_cave_2.jpg,2F,C2,Monster,Hornet
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/7/70/Yokmir_cave_2.jpg,2F,C3,Monster,Hornet
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/7/70/Yokmir_cave_2.jpg,2F,D1,Monster,Field Gate
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/7/70/Yokmir_cave_2.jpg,2F,D1,Monster,Killer Ant
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/7/70/Yokmir_cave_2.jpg,2F,D1,Monster,High Orc
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/7/70/Yokmir_cave_2.jpg,2F,D1,Monster,Hornet
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/7/70/Yokmir_cave_2.jpg,2F,D2,Monster,Killer Ant
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/7/70/Yokmir_cave_2.jpg,2F,D2,Monster,Hornet
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/7/70/Yokmir_cave_2.jpg,2F,D3,Monster,Field Gate
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/7/70/Yokmir_cave_2.jpg,2F,D3,Monster,Hornet
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/7/70/Yokmir_cave_2.jpg,2F,D4,Monster,Field Gate
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/7/70/Yokmir_cave_2.jpg,2F,D4,Monster,Orc Hunter
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/7/70/Yokmir_cave_2.jpg,2F,D4,Monster,Killer Ant
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/7/70/Yokmir_cave_2.jpg,2F,D4,Monster,Ant
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,A1,Monster,Field Gate
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,A1,Monster,Orc Hunter
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,A1,Monster,High Orc
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,A1,Monster,Silver Wolf
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,A2,Monster,Leaf Ball
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,A2,Monster,Silver Wolf
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,A2,Mineral,Bronze Mineral
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,A3,Monster,Killer Ant
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,A3,Monster,High Orc
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,A3,Monster,Silver Wolf
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,A4,Monster,Field Gate
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,A4,Monster,High Orc
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,A4,Monster,Killer Ant
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,A4,Mineral,Iron Mineral
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,A4,Mineral,Bronze Mineral
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,A4,Mineral,Amethyst Mineral
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,A4,Mineral,Emerald Mineral
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,B1,Monster,Silver Wolf
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,B1,Monster,Rider Orc
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,C2,Monster,Leaf Ball
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,C2,Monster,High Orc
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,D1,Monster,Field Gate
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,D1,Monster,Leaf Ball
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,D1,Mineral,Amethyst Mineral
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,D2,Monster,Leaf Ball
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,D2,Monster,Hornet
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,D2,Monster,Orc Hunter
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,D2,Mineral,Rune Crystal
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,D3,Monster,Field Gate
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,D3,Monster,Silver Wolf
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,D3,Mineral,Aquamarine Mineral
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,D4,Monster,Leaf Ball
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,D4,Monster,Silver Wolf
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,E2,Monster,Leaf Ball
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,E2,Monster,Orc Hunter
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,E3,Monster,Field Gate
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,E3,Monster,Killer Ant
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,E3,Monster,Silver Wolf
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,F1,Monster,High Orc
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,F1,Monster,Orc Hunter
Yokmir Cave,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/1/15/Yokmir_cave_3.jpg,3F,F1,Monster,Silver Wolf
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,A1,Monster,Weagle
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,B1,Monster,Sky Fish
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,B1,Monster,Weagle
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,B2,Monster,Thunderbolt
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,B3,Monster,Sky Fish
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,B3,Monster,Tortoise
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,C1,Monster,Chimera
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,C2,Monster,Goblin Archer
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,C2,Monster,Tortoise
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,C2,Mineral,Iron Mineral
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,C2,Mineral,Rune Crystal
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,C3,Monster,Tortoise
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,C3,Monster,Weagle
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,C3,Mineral,Aquamarine Mineral
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,C3,Mineral,Rune Crystal
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,C4,Monster,Goblin
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,C4,Monster,Goblin Archer
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,C4,Monster,Sky Fish
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,C4,Monster,Tortoise
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,C4,Monster,Weagle
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,C5,Monster,Sky Fish
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,C5,Monster,Tortoise
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,C6,Monster,Sky Fish
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,C6,Monster,Tortoise
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,C7,Monster,Sky Fish
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,C7,Monster,Tortoise
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,D1,Monster,Goblin
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,D1,Monster,Goblin Archer
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,D1,Mineral,Aquamarine Mineral
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,D2,Monster,Goblin
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,D2,Monster,Goblin Archer
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,D2,Mineral,Aquamarine Mineral
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,D3,Monster,Goblin
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,D3,Monster,Goblin Archer
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,D4,Monster,Goblin
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,D4,Monster,Goblin Archer
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,D5,Monster,Goblin
Water Ruins,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/3/36/Water_ruins.jpg,-,D5,Monster,Goblin Archer
