NPC,ID Dec,ID Hex,,,,,,,,Model Size?,,,Base Level,Base HP,Base STR,Base INT,Base VIT,XP,Base Atk,Base MAtk,Diz,Base Def,Base MDef,STR Level,INT Level,VIT Level,Atk Level,MAtk Level,Def Level,MDef Level,,Diz Res%,Knock Atk%?,Stun Attack?,Knock Res%,,Crit Atk%,Crit Res%,,Flying?,,Fire Res%,Water Res%,Earth Res%,Wind Res%,Light Res%,Dark Res%,Phys Res%,Love Res%,Psn Res%,Seal Res%,Par Res%,Slp Res%,Ftg Res%,Sick Res%,Fnt Res%,Drain Res%,,Friendliness,,Drop 1,Drop 2,Drop 3,Drop 4,Scarcity 1,Scarcity 2,Scarcity 3,Scarcity 4,,,,,,,,,,,EVs (VIT INT STR HP),Produce,,Produce Chance,Upgradable
Dolce,17,0011,97.00%,10,84.99%,129.98%,100.00%,100.00%,100.00%,165,00 00 00 01,0,25,1500,56,78,35,0,0,0,1,0,0,180,300,120,0,0,0,0,0,14.99%,100.00%,0.00%,0.00%,100.00%,2.98%,4.98%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,25.00%,25.00%,25.00%,25.00%,25.00%,25.00%,79.98%,0.00%,0,0,1,Friendly Rod,,Silk Hat,,,,,,,,,,,,,,,,,,,,No
Jones,18,0012,100.00%,10,84.99%,109.99%,100.00%,100.00%,100.00%,175,00 00 00 01,0,15,820,12,100,2,0,0,0,1,0,0,125,350,125,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,100.00%,2.98%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,Short Dagger,,,,,,,,,,,,,,,,,,,,,,No
Nancy,19,0013,100.00%,10,84.99%,109.99%,100.00%,100.00%,100.00%,161,00 00 00 00,0,12,700,21,48,19,0,0,0,2,0,0,170,250,180,0,0,0,0,0,4.98%,100.00%,0.00%,0.00%,100.00%,7.98%,20.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,Leather Gloves,,,,,,,,,,,,,,,,,,,,,,No
Leon,20,0014,100.00%,10,84.99%,109.99%,100.00%,100.00%,100.00%,188,00 00 00 01,0,22,2950,112,150,48,0,0,0,1,0,0,240,280,80,0,0,0,0,0,20.00%,100.00%,0.00%,0.00%,100.00%,2.98%,4.98%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,25.00%,25.00%,25.00%,25.00%,25.00%,25.00%,20.00%,0.00%,0,0,1,Halberd,,,,,,,,,,,,,,,,,,,,,,No
Ventuswill,21,0015,79.98%,35,84.99%,100.00%,100.00%,100.00%,209.99%,380,00 B5 00 00,0,75,98000,3300,3000,2800,0,0,0,1,0,0,200,200,200,0,0,0,0,0,100.00%,100.00%,25.00%,100.00%,0.00%,4.98%,99.00%,00 3C 40 00,0,0,9.99%,9.99%,0.00%,150.00%,9.99%,9.99%,9.99%,9.99%,99.00%,99.00%,99.00%,99.00%,99.00%,99.00%,100.00%,79.98%,0,0,1,,,,,,,,,,,,,,,,,,,,,,,No
Son,22,0016,79.98%,10,84.99%,120.00%,100.00%,100.00%,79.98%,130,00 00 00 01,0,0,60,5,4,5,0,0,0,1,0,0,203,187,210,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,100.00%,6.98%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,Back Scratcher,,,,,,,,,,,,,,,,,,,,,,No
Daughter,23,0017,79.98%,10,84.99%,120.00%,100.00%,100.00%,79.98%,128,00 00 00 00,0,0,60,5,5,4,0,0,0,1,0,0,200,210,190,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,100.00%,6.98%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,Back Scratcher,,,,,,,,,,,,,,,,,,,,,,No
Barrett,24,0018,100.00%,10,84.99%,114.99%,100.00%,100.00%,100.00%,160,00 14 00 00,0,35,2100,80,78,68,0,0,0,1,0,0,212,208,180,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,100.00%,4.98%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,Steel Edge,,,,,,,,,,,,,,,,,,,,,,No
Raven,25,0019,100.00%,10,84.99%,114.99%,100.00%,100.00%,100.00%,160,00 14 00 00,0,40,2250,128,130,4,0,0,0,1,0,0,270,270,60,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,100.00%,4.98%,0.00%,00 23 40 00,0,0,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,0.00%,0,0,1,Steel Sword,,,,,,,,,,,,,,,,,,,,,,No
Mistress Trupin,26,001A,100.00%,10,84.99%,114.99%,100.00%,100.00%,100.00%,160,00 10 00 00,0,100,6666,250,250,200,0,0,0,10,0,0,250,250,200,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,100.00%,4.98%,0.00%,00 23 40 00,0,0,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-200.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.25,0,1,Steel Sword,,,,,,,,,,,,,,,,,,,,,,No
Traveler,27,001B,100.00%,10,100.00%,150.00%,100.00%,100.00%,100.00%,160,00 02 00 01,0,29,500,96,96,96,0,0,0,10,0,0,10,10,9,5,5,5,5,0,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,,,,,,,,,,,,,,,,,,,,,,,No
Traveler,28,001C,100.00%,10,100.00%,150.00%,100.00%,100.00%,100.00%,160,00 02 00 01,0,29,500,96,96,96,0,0,0,10,0,0,10,10,9,5,5,5,5,0,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,,,,,,,,,,,,,,,,,,,,,,,No
Traveler,29,001D,100.00%,10,100.00%,150.00%,100.00%,100.00%,100.00%,160,00 02 00 01,0,29,500,96,96,96,0,0,0,10,0,0,10,10,9,5,5,5,5,0,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,,,,,,,,,,,,,,,,,,,,,,,No
Traveler,30,001E,100.00%,10,100.00%,150.00%,100.00%,100.00%,100.00%,160,00 02 00 01,0,29,500,96,96,96,0,0,0,10,0,0,10,10,9,5,5,5,5,0,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,,,,,,,,,,,,,,,,,,,,,,,No
Traveler,31,001F,100.00%,10,100.00%,150.00%,100.00%,100.00%,100.00%,160,00 02 00 01,0,29,500,96,96,96,0,0,0,10,0,0,10,10,9,5,5,5,5,0,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,,,,,,,,,,,,,,,,,,,,,,,No
Traveler,32,0020,100.00%,10,100.00%,150.00%,100.00%,100.00%,100.00%,160,00 02 00 01,0,29,500,96,96,96,0,0,0,10,0,0,10,10,9,5,5,5,5,0,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,,,,,,,,,,,,,,,,,,,,,,,No
Traveler,33,0021,100.00%,10,100.00%,150.00%,100.00%,100.00%,100.00%,160,00 02 00 01,0,29,500,96,96,96,0,0,0,10,0,0,10,10,9,5,5,5,5,0,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,,,,,,,,,,,,,,,,,,,,,,,No
Traveler,34,0022,100.00%,10,100.00%,150.00%,100.00%,100.00%,100.00%,160,00 02 00 00,0,29,500,96,96,96,0,0,0,10,0,0,10,10,9,5,5,5,5,0,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,,,,,,,,,,,,,,,,,,,,,,,No
Traveler,35,0023,100.00%,10,100.00%,150.00%,100.00%,100.00%,100.00%,160,00 02 00 00,0,29,500,96,96,96,0,0,0,10,0,0,10,10,9,5,5,5,5,0,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,,,,,,,,,,,,,,,,,,,,,,,No
Traveler,36,0024,100.00%,10,100.00%,150.00%,100.00%,100.00%,100.00%,160,00 02 00 00,0,29,500,96,96,96,0,0,0,10,0,0,10,10,9,5,5,5,5,0,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,,,,,,,,,,,,,,,,,,,,,,,No
Traveler,37,0025,100.00%,10,100.00%,150.00%,100.00%,100.00%,100.00%,160,00 02 00 00,0,29,500,96,96,96,0,0,0,10,0,0,10,10,9,5,5,5,5,0,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,,,,,,,,,,,,,,,,,,,,,,,No
Traveler,38,0026,100.00%,10,100.00%,150.00%,100.00%,100.00%,100.00%,160,00 02 00 00,0,29,500,96,96,96,0,0,0,10,0,0,10,10,9,5,5,5,5,0,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,,,,,,,,,,,,,,,,,,,,,,,No
Traveler,39,0027,100.00%,10,100.00%,150.00%,100.00%,100.00%,100.00%,160,00 02 00 00,0,29,500,96,96,96,0,0,0,10,0,0,10,10,9,5,5,5,5,0,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,,,,,,,,,,,,,,,,,,,,,,,No
Traveler,40,0028,100.00%,10,100.00%,150.00%,100.00%,100.00%,100.00%,160,00 02 00 00,0,29,500,96,96,96,0,0,0,10,0,0,10,10,9,5,5,5,5,0,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,,,,,,,,,,,,,,,,,,,,,,,No
Soldier,41,0029,100.00%,10,100.00%,150.00%,100.00%,100.00%,100.00%,160,00 01 00 01,0,29,500,96,96,96,0,0,0,10,0,0,10,10,9,5,5,5,5,0,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,,,,,,,,,,,,,,,,,,,,,,,No
Soldier,42,002A,100.00%,10,100.00%,150.00%,100.00%,100.00%,100.00%,160,00 01 00 01,0,29,500,96,96,96,0,0,0,10,0,0,10,10,9,5,5,5,5,0,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,,,,,,,,,,,,,,,,,,,,,,,No
Soldier,43,002B,100.00%,10,100.00%,150.00%,100.00%,100.00%,100.00%,160,00 01 00 01,0,29,500,96,96,96,0,0,0,10,0,0,10,10,9,5,5,5,5,0,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,,,,,,,,,,,,,,,,,,,,,,,No
Soldier,44,002C,100.00%,10,100.00%,150.00%,100.00%,100.00%,100.00%,160,00 01 00 01,0,29,500,96,96,96,0,0,0,10,0,0,10,10,9,5,5,5,5,0,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,,,,,,,,,,,,,,,,,,,,,,,No
Soldier,45,002D,100.00%,10,100.00%,150.00%,100.00%,100.00%,100.00%,160,00 01 00 01,0,29,500,96,96,96,0,0,0,10,0,0,10,10,9,5,5,5,5,0,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,,,,,,,,,,,,,,,,,,,,,,,No
Soldier,46,002E,100.00%,10,100.00%,150.00%,100.00%,100.00%,100.00%,160,00 01 00 01,0,29,500,96,96,96,0,0,0,10,0,0,10,10,9,5,5,5,5,0,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,,,,,,,,,,,,,,,,,,,,,,,No
Soldier,47,002F,100.00%,10,100.00%,150.00%,100.00%,100.00%,100.00%,160,00 01 00 01,0,29,500,96,96,96,0,0,0,10,0,0,10,10,9,5,5,5,5,0,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,,,,,,,,,,,,,,,,,,,,,,,No
Orc,48,0030,100.00%,10,89.99%,100.00%,100.00%,100.00%,100.00%,150,00 00 00 00,10,2,48,5,3,4,3,8,2,6,2,2,120,120,120,100,100,100,100,100,0.00%,100.00%,0.00%,0.00%,100.00%,0.98%,4.98%,00 25 40 00,0,0,0.00%,0.00%,9.99%,-150.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,25,1,Cheap Cloth,Glue,Cheap Bracelet,Stick,120,1,20,80,00 01 00 01,48,350,00 00 71 C0,01 00 00 00,02 F5 02 F4,00 00 00 00,00 00 01 96,00 00 01 01,00 45 01 0F,00 00 00 01,,0,,No
High Orc,49,0031,114.99%,12,98.00%,100.00%,125.00%,125.00%,125.00%,160,00 01 00 00,5,18,580,70,62,60,170,100,25,10,78,28,200,180,200,100,100,100,100,100,0.00%,100.00%,0.00%,0.00%,100.00%,0.98%,4.98%,00 25 40 00,0,0,0.00%,0.00%,9.99%,-125.00%,0.00%,0.00%,0.00%,0.00%,9.99%,9.99%,9.99%,9.99%,9.99%,9.99%,9.99%,0.00%,0,20,1,Cheap Cloth,Glue,Cheap Bracelet,Stick,40,150,25,70,00 01 00 02,48,350,00 00 71 C0,02 00 00 00,02 F5 03 0A,00 00 00 00,00 00 01 96,00 00 01 01,00 9D 01 C6,00 00 00 01,,0,,No
Orc Archer,50,0032,100.00%,10,91.99%,100.00%,100.00%,100.00%,100.00%,150,00 02 00 00,8,2,36,4,3,4,4,7,3,2,2,2,190,184,176,100,100,100,100,100,0.00%,100.00%,0.00%,0.00%,100.00%,0.98%,4.98%,00 23 40 00,0,0,0.00%,0.00%,9.99%,-150.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,25,1,Arrowhead,Gunpowder,Recovery Potion,Stick,120,3,40,80,00 01 00 03,50,650,00 00 BF F4,01 00 00 00,03 0D 03 0C,00 00 00 00,00 00 01 9F,00 00 01 01,00 45 01 0F,00 01 00 00,,0,,No
